,Name,Season,OBPM,DBPM,BPM
0,A'Torey Everett,2017,-5.2,-1.2,-6.4
1,A'Torri Shine,2014,-1.6,-5.7,-7.4
2,A'Torri Shine,2015,-1.9,-5.2,-7.2
3,A'uston Calhoun,2011,-3.3,-1.1,-4.4
4,A'uston Calhoun,2012,-0.7,-2.0,-2.7
5,A'uston Calhoun,2013,-1.3,-2.1,-3.4
6,A.C. Reid,2015,-4.3,-2.7,-6.9
7,A.C. Reid,2016,-2.2,-2.2,-4.3
8,A.C. Reid,2017,-3.3,-0.8,-4.2
9,A.J. Astroth,2015,-1.0,-1.0,-2.1
10,A.J. Astroth,2017,-2.0,-0.2,-2.2
11,A.J. Avery,2014,-4.8,2.9,-1.9
12,A.J. Avery,2015,-4.3,0.5,-3.8
13,A.J. Avery,2016,-1.1,1.7,0.6
14,A.J. Cockrell,2016,-4.5,-3.0,-7.4
15,A.J. Davis,2012,2.4,-1.2,1.2
16,A.J. Davis,2013,4.0,-0.8,3.2
17,A.J. Davis,2016,0.1,1.9,2.0
18,A.J. Davis,2017,-1.2,4.7,3.4
19,A.J. English,2014,2.7,-2.3,0.4
20,A.J. English,2015,4.7,-1.3,3.5
21,A.J. English,2016,7.3,-0.1,7.2
22,A.J. Hammons,2013,1.0,4.6,5.6
23,A.J. Hammons,2014,-1.5,7.0,5.4
24,A.J. Hammons,2015,1.2,7.7,8.9
25,A.J. Hammons,2016,3.9,8.0,11.9
26,A.J. Hardeman,2011,-0.5,3.0,2.5
27,A.J. Hardeman,2012,-2.1,4.1,2.0
28,A.J. Harris,2016,-2.1,-0.1,-2.3
29,A.J. Hess,2013,-1.0,-2.1,-3.1
30,A.J. Hess,2014,-0.5,-3.6,-4.1
31,A.J. Hess,2015,2.1,-2.7,-0.5
32,A.J. Hess,2017,2.0,-2.6,-0.6
33,A.J. Jacobson,2015,1.8,-1.4,0.4
34,A.J. Jacobson,2016,1.0,-0.2,0.7
35,A.J. Jacobson,2017,0.9,1.0,1.8
36,A.J. John,2015,-7.8,2.4,-5.4
37,A.J. John,2016,-5.5,2.7,-2.8
38,A.J. Jones,2013,-1.2,-2.4,-3.6
39,A.J. Lawson,2017,-1.2,-1.7,-2.8
40,A.J. Mathew,2012,-2.7,0.7,-2.0
41,A.J. Merriweather,2014,-1.7,0.3,-1.4
42,A.J. Merriweather,2015,-0.3,0.6,0.3
43,A.J. Merriweather,2017,1.5,2.4,4.0
44,A.J. Mosby,2017,-0.2,-0.5,-0.7
45,A.J. Pacher,2011,-2.3,-1.9,-4.2
46,A.J. Pacher,2012,-4.0,-0.4,-4.4
47,A.J. Pacher,2013,-0.4,0.9,0.5
48,A.J. Pacher,2014,0.8,0.2,1.0
49,A.J. Riley,2016,-1.1,-1.8,-2.9
50,A.J. Rogers,2012,-4.6,0.7,-4.0
51,A.J. Rogers,2013,-4.9,4.0,-0.9
52,A.J. Rompza,2011,0.6,0.4,1.0
53,A.J. Spencer,2014,0.6,-0.1,0.5
54,A.J. Spencer,2016,-0.6,-0.6,-1.2
55,A.J. Turner,2016,-1.8,2.3,0.4
56,A.J. Turner,2017,2.1,0.4,2.5
57,A.J. Tyler,2011,1.4,1.4,2.8
58,A.J. Walton,2011,1.1,2.7,3.9
59,A.J. Walton,2012,-0.7,3.7,3.0
60,A.J. Walton,2013,1.0,3.7,4.7
61,AJ Brodeur,2017,-1.3,5.8,4.5
62,AJ Sumbry,2014,-4.6,0.0,-4.5
63,AJ Sumbry,2017,-4.6,3.4,-1.2
64,AJ West,2015,1.6,3.2,4.9
65,Aakim Saintil,2014,-2.1,-1.0,-3.1
66,Aakim Saintil,2016,-0.3,-3.7,-4.0
67,Aaren Edmead,2015,-2.6,-4.2,-6.7
68,Aaren Edmead,2016,-2.5,-2.1,-4.6
69,Aaric Armstead,2014,-3.4,1.5,-1.8
70,Aaric Armstead,2015,-0.3,0.5,0.1
71,Aaric Armstead,2016,-1.8,1.2,-0.7
72,Aaric Armstead,2017,-2.1,3.1,1.0
73,Aaric Murray,2011,1.9,2.4,4.3
74,Aaric Murray,2013,2.6,5.4,8.0
75,Aaric Murray,2014,1.2,-0.2,1.0
76,Aaron (Gordo) Castillo,2011,4.4,-1.0,3.4
77,Aaron Adeoye,2012,-3.7,1.1,-2.6
78,Aaron Adeoye,2014,-6.0,2.2,-3.7
79,Aaron Adeoye,2015,-3.8,0.4,-3.3
80,Aaron Anderson,2011,-2.6,-1.9,-4.5
81,Aaron Anderson,2012,2.1,-1.8,0.4
82,Aaron Anderson,2013,3.9,-1.8,2.1
83,Aaron Anderson,2014,2.7,-3.1,-0.4
84,Aaron Anderson,2016,-1.1,-0.8,-1.9
85,Aaron Anderson,2017,1.7,0.1,1.8
86,Aaron Ariri,2015,-7.7,-1.4,-9.0
87,Aaron Ariri,2016,-3.7,-2.1,-5.8
88,Aaron Armstead,2012,-5.1,-1.5,-6.5
89,Aaron Armstead,2014,-1.1,-0.8,-1.9
90,Aaron Armstead,2015,1.7,-0.1,1.6
91,Aaron Augustin,2017,-6.2,-0.7,-6.9
92,Aaron Bacote,2013,-1.1,-2.6,-3.8
93,Aaron Bacote,2014,2.4,-2.0,0.5
94,Aaron Bacote,2015,2.5,0.0,2.6
95,Aaron Bacote,2016,3.4,-0.5,2.9
96,Aaron Bodager,2016,3.5,-3.0,0.5
97,Aaron Bodager,2017,-1.3,-1.2,-2.5
98,Aaron Bowen,2013,-2.2,1.1,-1.2
99,Aaron Bowen,2014,1.2,2.6,3.8
100,Aaron Bowen,2015,2.6,2.8,5.5
101,Aaron Bracket,2011,-3.1,-0.6,-3.7
102,Aaron Bracket,2012,-3.2,-0.3,-3.5
103,Aaron Brennan,2015,-1.5,0.7,-0.8
104,Aaron Brennan,2016,-4.4,1.0,-3.3
105,Aaron Brennan,2017,0.5,-1.4,-0.9
